"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"log_lik[7183]",-5.54910396401783,0.000977627051417315,0.164217276036089,-5.88406628119838,-5.65819025053743,-5.54494681305675,-5.43593629710534,-5.24240402238803,28215.7284840757,0.999938873685434
"log_lik[7184]",-6.31978533929462,0.00049989202289701,0.0848841088945413,-6.5127690664727,-6.37092431488242,-6.31028005006434,-6.25863171078265,-6.18117568437714,28833.6999441405,0.999937782651635
"log_lik[7185]",-7.2480092268138,0.000171104274453393,0.0264924757405799,-7.31546517905267,-7.26068870203194,-7.24184209581324,-7.22934008891201,-7.2135116704868,23973.0544925232,0.9998656994888
"log_lik[7186]",-8.49371523244074,0.000819621726128501,0.136774828768704,-8.79368135929618,-8.5791051197918,-8.48112951609273,-8.39489963050748,-8.26425916653051,27847.4501769195,0.999912230653678
"log_lik[7187]",-8.56208772066719,0.000210640895178271,0.0301542028685016,-8.64191307269417,-8.57401722111312,-8.5537471158778,-8.54162317889869,-8.52684532193104,20493.2256038814,0.999915887882572
"log_lik[7188]",-6.72561938822761,0.00121400393917925,0.201891893865106,-7.13513050287423,-6.8598431563134,-6.72204844862811,-6.58755379775528,-6.34397776637315,27656.5225390616,0.999955024864015
"log_lik[7189]",-6.70061316536747,0.000465765064023934,0.0782907637092903,-6.87854773294417,-6.74719683047076,-6.69207000353884,-6.64407926115657,-6.57210120213058,28254.4748098156,0.999937685151561
"log_lik[7190]",-7.7190743689652,0.000273883437024515,0.0451262587593509,-7.82525540733821,-7.74510628003413,-7.7121048155832,-7.68619073426439,-7.65070382193031,27147.3298720031,0.999863753877497
"log_lik[7191]",-8.68340930978944,0.000644138978083101,0.107215622067748,-8.92195862294992,-8.75018284292304,-8.6722488509821,-8.6056465306825,-8.5063312532101,27704.9250467683,0.999910769679118
"log_lik[7192]",-9.03061423187182,0.000361204688863181,0.0585488519264232,-9.17016061487148,-9.06343973607087,-9.02091262796252,-8.98783191357307,-8.94473891603397,26274.2306647425,0.999912229857354
"log_lik[7193]",-4.60554364246851,0.000470023048792239,0.0691908511576568,-4.77297224651667,-4.64212293873548,-4.59328831188369,-4.55534445934607,-4.50774558116621,21670.0062154192,0.999915745290115
"log_lik[7194]",-9.61999304924864,0.00213433225627812,0.342899344844022,-10.3313211214502,-9.84202838490754,-9.60307622321029,-9.38194673252756,-8.99776865566462,25811.2629267207,0.999906133907197
"log_lik[7195]",-8.00966112714384,0.00023941913972229,0.0358937751565461,-8.10049072393257,-8.02640240014233,-8.00073601923122,-7.98367336639978,-7.96556418033619,22476.0786982773,0.999920943238488
"log_lik[7196]",-8.8085203621742,0.000313968599082596,0.047677346940121,-8.92766779750503,-8.83257366297869,-8.79760534944498,-8.77324640108897,-8.74931616119739,23059.5979413012,0.999927167155488
"log_lik[7197]",-9.75930734669171,0.000650489185471911,0.103478847222087,-9.99294826353404,-9.82056396434524,-9.74738776758661,-9.68456409516467,-9.59287926607951,25305.9707914532,0.999856166494134
"log_lik[7198]",-4.95674627494029,0.000382441392009737,0.0592008853522771,-5.10141090734187,-4.98764428356426,-4.94518648359844,-4.91294925516666,-4.87685712701023,23962.1963652051,0.999920560077708
"log_lik[7199]",-7.62053478890051,0.00104430774344025,0.165147439351997,-7.97530965994573,-7.72325524188621,-7.60984769179274,-7.50570795338632,-7.32808280162093,25008.4451948328,1.00001841376439
"log_lik[7200]",-7.79399621930569,0.000717393779033648,0.116300084206666,-8.04344917390331,-7.86860609917897,-7.78578992648749,-7.71161345947599,-7.58892687623952,26281.1790911905,0.999980948542556
"log_lik[7201]",-7.93010403106478,0.000704402782741306,0.10849505976197,-8.17424830787543,-7.9964488700518,-7.91817141504444,-7.85135895664039,-7.75263176988979,23723.447482626,0.999915818202182
"log_lik[7202]",-8.09121501154994,0.000249188931509222,0.0304901208385365,-8.17463321680583,-8.10142168527748,-8.08198254624211,-8.07164982116004,-8.0577117374091,14971.3442062874,0.999900102077303
"log_lik[7203]",-6.97720157851634,0.000443979182177852,0.0808424278990575,-7.16500568514446,-7.02468329790585,-6.96886319381852,-6.91881791417279,-6.84722340197058,33155.339721567,0.999846517827402
"log_lik[7204]",-7.90038703138883,0.000587898074848871,0.103071803244857,-8.13266701291846,-7.96139395540785,-7.88993002831473,-7.82658066741196,-7.72955079861288,30738.004663346,0.999934862073589
"log_lik[7205]",-8.18745939303398,0.000128993909115362,0.0160336779362802,-8.22777742899876,-8.19395739375948,-8.18460243282032,-8.17717245168999,-8.1650846824896,15449.9793542452,1.00007254132432
"log_lik[7206]",-8.70854527675878,0.000255392218802418,0.0436817686310868,-8.81329269179026,-8.73254602390552,-8.70119768464589,-8.67642429065621,-8.64590455394806,29253.9898248208,0.999961733000852
"log_lik[7207]",-9.37151906699616,0.000416668652679846,0.0735402681662042,-9.53358326247371,-9.41600223199604,-9.36423913061778,-9.31860926754058,-9.24991331087545,31150.7682449517,0.999872341129506
"log_lik[7208]",-8.05628926987408,0.000561381589008136,0.0874355910365341,-8.26470337462552,-8.104277653521,-8.04265029801593,-7.99166626140241,-7.92827403540909,24258.2891963556,0.999940355607486
"log_lik[7209]",-8.29982869950943,0.000362887988539721,0.0473294909778778,-8.42398778394691,-8.31998924593309,-8.28568723357234,-8.26611719168178,-8.24818979716204,17010.5548844591,0.999987923569115
"log_lik[7210]",-6.81324739449519,0.00048524329279487,0.076747117025953,-6.97681361241259,-6.86262526132913,-6.80848604842379,-6.75889642002844,-6.67621434622697,25015.262149244,0.999990374252565
"log_lik[7211]",-7.74803456323543,0.000134407765998093,0.0157228503704954,-7.78905200853489,-7.75429478024653,-7.74527969647604,-7.73805687951238,-7.7258374403185,13684.024320115,1.00024068624894
"log_lik[7212]",-8.23574661535413,0.000382776530425048,0.060635378577868,-8.38265783647303,-8.26936055559132,-8.22443274097061,-8.19095596294244,-8.15134425425255,25093.5198482312,0.999941363284148
"log_lik[7213]",-8.56832269016417,0.000307386126436293,0.0482126140154984,-8.68614102019301,-8.59373558764389,-8.55902684296341,-8.53251119384892,-8.50374051467264,24601.0041077858,0.999989362733377
"log_lik[7214]",-8.79975117318043,0.0002310145409547,0.0343631204309916,-8.88894128165562,-8.81494541510439,-8.79062572871111,-8.77547821450337,-8.75870843420791,22126.1857743827,0.999866865010653
"log_lik[7215]",-5.00859592644185,0.000232482076659584,0.0362682994533295,-5.09798546359945,-5.02743501858622,-5.00116106437032,-4.98188921098695,-4.96013722570068,24337.4702183952,1.00007292758643
"log_lik[7216]",-6.17308332026984,0.000234004504380214,0.0305732680226482,-6.25634486389197,-6.18283209672005,-6.1640096542946,-6.15348219938975,-6.13990543659457,17070.0696303433,1.00025150781717
"log_lik[7217]",-6.87495345294535,0.000680110534377187,0.108894385226972,-7.13797447902069,-6.93556240982329,-6.85536081708687,-6.79467085741691,-6.72136893198114,25636.1008411416,0.999939579987356
"log_lik[7218]",-6.92233114504617,0.000501210273608469,0.0752706542094563,-7.10259048735274,-6.96344689211264,-6.90828273414671,-6.86535640494215,-6.82046899246882,22553.3704032553,0.999901926937269
"log_lik[7219]",-9.11148345111559,0.000257040077677548,0.0338813861013487,-9.20058900474515,-9.12579313550258,-9.10208090386592,-9.08808315168701,-9.0720543144719,17374.8334714011,0.999982652594643
"log_lik[7220]",-9.59642593178717,0.000293519404320063,0.0451183022178844,-9.70992686640082,-9.61785968506508,-9.58557121143473,-9.56340725985384,-9.54226140947167,23628.2666430747,0.99986925372551
"log_lik[7221]",-7.94113249422331,0.00049164348128684,0.0742990442299932,-8.12373845911448,-7.97998505655912,-7.92694225726107,-7.88554660167463,-7.84188751793945,22838.4109754364,0.999950110488317
"log_lik[7222]",-8.2169038144276,0.000444335102515776,0.0633504594609977,-8.37609409554844,-8.24844271006792,-8.20174741411661,-8.16905682602698,-8.14123450793422,20327.2341693498,0.999961510151411
"log_lik[7223]",-6.40408301945977,0.000929701131588868,0.151513560278968,-6.73378415552148,-6.49873663192223,-6.39308998955457,-6.29770250292516,-6.13599771922318,26559.2794001538,0.999901403688423
